Sr_No,Movie_Name,Movie_Year,Movie_Rating
1,The Shawshank Redemption,1994,9.2
2,The Godfather,1972,9.2
3,The Godfather: Part II,1974,9.0
4,The Dark Knight,2008,8.9
5,Pulp Fiction,1994,8.9
6,Schindler's List,1993,8.9
7,12 Angry Men,1957,8.9
8,The Good, the Bad and the Ugly,1966,8.9
9,The Lord of the Rings: The Return of the King,2003,8.9
10,Fight Club,1999,8.8
11,The Lord of the Rings: The Fellowship of the Ring,2001,8.8
12,Star Wars: Episode V - The Empire Strikes Back,1980,8.7
13,Forrest Gump,1994,8.7
14,Inception,2010,8.7
15,One Flew Over the Cuckoo's Nest,1975,8.7
16,The Lord of the Rings: The Two Towers,2002,8.7
17,Goodfellas,1990,8.7
18,The Matrix,1999,8.7
19,Star Wars: Episode IV - A New Hope,1977,8.7
20,Seven Samurai,1954,8.7
21,City of God,2002,8.6
22,Se7en,1995,8.6
23,Interstellar,2014,8.6
24,The Usual Suspects,1995,8.6
25,The Silence of the Lambs,1991,8.6
26,It's a Wonderful Life,1946,8.6
27,Léon: The Professional,1994,8.6
28,Once Upon a Time in the West,1968,8.6
29,Life Is Beautiful,1997,8.6
30,Casablanca,1942,8.5
31,American History X,1998,8.5
32,Saving Private Ryan,1998,8.5
33,Raiders of the Lost Ark,1981,8.5
34,Spirited Away,2001,8.5
35,City Lights,1931,8.5
36,Psycho,1960,8.5
37,Rear Window,1954,8.5
38,Whiplash,2014,8.5
39,The Intouchables,2011,8.5
40,Modern Times,1936,8.5
41,Terminator 2: Judgment Day,1991,8.5
42,The Green Mile,1999,8.5
43,Memento,2000,8.5
44,The Pianist,2002,8.5
45,The Departed,2006,8.5
46,Gladiator,2000,8.5
47,Apocalypse Now,1979,8.5
48,Sunset Blvd.,1950,8.5
49,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.5
50,Back to the Future,1985,8.5
51,Alien,1979,8.5
52,The Prestige,2006,8.5
53,The Great Dictator,1940,8.4
54,The Lion King,1994,8.4
55,The Lives of Others,2006,8.4
56,Cinema Paradiso,1988,8.4
57,Django Unchained,2012,8.4
58,The Shining,1980,8.4
59,The Dark Knight Rises,2012,8.4
60,Paths of Glory,1957,8.4
61,American Beauty,1999,8.4
62,WALL·E,2008,8.4
63,North by Northwest,1959,8.4
64,Aliens,1986,8.4
65,Citizen Kane,1941,8.4
66,Grave of the Fireflies,1988,8.4
67,Vertigo,1958,8.4
68,Amélie,2001,8.4
69,M,1931,8.4
70,Das Boot,1981,8.4
71,Oldboy,2003,8.4
72,Princess Mononoke,1997,8.4
73,Star Wars: Episode VI - Return of the Jedi,1983,8.4
74,Toy Story 3,2010,8.4
75,Once Upon a Time in America,1984,8.4
76,Reservoir Dogs,1992,8.3
77,A Clockwork Orange,1971,8.3
78,Taxi Driver,1976,8.3
79,Braveheart,1995,8.3
80,Requiem for a Dream,2000,8.3
81,Double Indemnity,1944,8.3
82,To Kill a Mockingbird,1962,8.3
83,Witness for the Prosecution,1957,8.3
84,Lawrence of Arabia,1962,8.3
85,Eternal Sunshine of the Spotless Mind,2004,8.3
86,Full Metal Jacket,1987,8.3
87,The Sting,1973,8.3
88,Singin' in the Rain,1952,8.3
89,Bicycle Thieves,1948,8.3
90,Amadeus,1984,8.3
91,Monty Python and the Holy Grail,1975,8.3
92,Snatch.,2000,8.3
93,2001: A Space Odyssey,1968,8.3
94,The Kid,1921,8.3
95,For a Few Dollars More,1965,8.3
96,L.A. Confidential,1997,8.3
97,Rashomon,1950,8.3
98,All About Eve,1950,8.3
99,The Apartment,1960,8.3
100,Inglourious Basterds,2009,8.3
101,Toy Story,1995,8.3
102,Indiana Jones and the Last Crusade,1989,8.3
103,The Treasure of the Sierra Madre,1948,8.3
104,Some Like It Hot,1959,8.3
105,A Separation,2011,8.3
106,Yojimbo,1961,8.3
107,The Third Man,1949,8.3
108,Batman Begins,2005,8.3
109,Metropolis,1927,8.3
110,Like Stars on Earth,2007,8.3
111,Unforgiven,1992,8.3
112,Scarface,1983,8.3
113,Raging Bull,1980,8.2
114,3 Idiots,2009,8.2
115,Up,2009,8.2
116,Chinatown,1974,8.2
117,Downfall,2004,8.2
118,The Great Escape,1963,8.2
119,Die Hard,1988,8.2
120,The Hunt,2012,8.2
121,On the Waterfront,1954,8.2
122,Heat,1995,8.2
123,Pan's Labyrinth,2006,8.2
124,Mr. Smith Goes to Washington,1939,8.2
125,Good Will Hunting,1997,8.2
126,The Bridge on the River Kwai,1957,8.2
127,My Neighbor Totoro,1988,8.2
128,The Gold Rush,1925,8.2
129,The Seventh Seal,1957,8.2
130,Ikiru,1952,8.2
131,The Bandit,1996,8.2
132,Ran,1985,8.2
133,The Elephant Man,1980,8.2
134,Blade Runner,1982,8.2
135,Wild Strawberries,1957,8.2
136,The General,1926,8.2
137,Lock, Stock and Two Smoking Barrels,1998,8.2
138,The Secret in Their Eyes,2009,8.2
139,The Wolf of Wall Street,2013,8.2
140,Casino,1995,8.2
141,Gran Torino,2008,8.2
142,Howl's Moving Castle,2004,8.2
143,Warrior,2011,8.2
144,The Big Lebowski,1998,8.2
145,Gone Girl,2014,8.2
146,V for Vendetta,2005,8.2
147,Rebecca,1940,8.2
148,The Deer Hunter,1978,8.2
149,How to Train Your Dragon,2010,8.1
150,Cool Hand Luke,1967,8.1
151,Judgment at Nuremberg,1961,8.1
152,It Happened One Night,1934,8.1
153,Rang De Basanti,2006,8.1
154,Munna Bhai M.B.B.S.,2003,8.1
155,Fargo,1996,8.1
156,Trainspotting,1996,8.1
157,A Beautiful Mind,2001,8.1
158,Gone with the Wind,1939,8.1
159,A Wednesday,2008,8.1
160,Into the Wild,2007,8.1
161,Rush,2013,8.1
162,The Maltese Falcon,1941,8.1
163,Dial M for Murder,1954,8.1
164,The Sixth Sense,1999,8.1
165,Hotel Rwanda,2004,8.1
166,The Thing,1982,8.1
167,The Wages of Fear,1953,8.1
168,Finding Nemo,2003,8.1
169,Incendies,2010,8.1
170,Mary and Max,2009,8.1
171,No Country for Old Men,2007,8.1
172,Kill Bill: Vol. 1,2003,8.1
173,Butch Cassidy and the Sundance Kid,1969,8.1
174,Platoon,1986,8.1
175,Life of Brian,1979,8.1
176,Network,1976,8.1
177,12 Years a Slave,2013,8.1
178,Touch of Evil,1958,8.1
179,There Will Be Blood,2007,8.1
180,Diabolique,1955,8.1
181,The Princess Bride,1987,8.1
182,Stand by Me,1986,8.1
183,Annie Hall,1977,8.1
184,The Grand Budapest Hotel,2014,8.1
185,Ben-Hur,1959,8.1
186,The 400 Blows,1959,8.1
187,Amores Perros,2000,8.1
188,In the Name of the Father,1993,8.1
189,Sin City,2005,8.1
190,The Grapes of Wrath,1940,8.1
